xyxy,confidence,class_name,tracker_id
"['428.0', '210.0', '457.0', '241.0']",0.869,hummingbird,1
"['420.0', '211.0', '446.0', '235.0']",0.825,hummingbird,1
"['411.0', '214.0', '439.0', '237.0']",0.845,hummingbird,1
"['413.0', '215.0', '438.0', '239.0']",0.855,hummingbird,1
"['412.0', '219.0', '441.0', '237.0']",0.491,hummingbird,1
"['411.0', '217.0', '440.0', '239.0']",0.858,hummingbird,1
"['412.0', '214.0', '436.0', '240.0']",0.869,hummingbird,1
"['411.0', '215.0', '436.0', '240.0']",0.866,hummingbird,1
"['412.0', '215.0', '437.0', '240.0']",0.863,hummingbird,1
"['412.0', '218.0', '439.0', '241.0']",0.836,hummingbird,1
"['412.0', '214.0', '434.0', '243.0']",0.865,hummingbird,1
"['412.0', '215.0', '440.0', '239.0']",0.855,hummingbird,1
"['412.0', '220.0', '436.0', '242.0']",0.857,hummingbird,1
"['412.0', '215.0', '436.0', '242.0']",0.857,hummingbird,1
"['412.0', '215.0', '442.0', '239.0']",0.819,hummingbird,1
"['412.0', '216.0', '435.0', '241.0']",0.856,hummingbird,1
"['412.0', '214.0', '439.0', '240.0']",0.86,hummingbird,1
"['412.0', '217.0', '441.0', '240.0']",0.803,hummingbird,1
"['411.0', '218.0', '437.0', '241.0']",0.851,hummingbird,1
"['412.0', '215.0', '438.0', '241.0']",0.858,hummingbird,1
"['412.0', '217.0', '443.0', '241.0']",0.804,hummingbird,1
"['411.0', '218.0', '442.0', '241.0']",0.808,hummingbird,1
"['424.0', '217.0', '444.0', '244.0']",0.775,hummingbird,1
"['428.0', '214.0', '455.0', '238.0']",0.862,hummingbird,1
"['426.0', '217.0', '450.0', '242.0']",0.85,hummingbird,1
"['424.0', '218.0', '446.0', '248.0']",0.855,hummingbird,1
"['426.0', '216.0', '449.0', '240.0']",0.846,hummingbird,1
"['430.0', '217.0', '457.0', '242.0']",0.859,hummingbird,1
"['429.0', '217.0', '450.0', '249.0']",0.862,hummingbird,1
"['412.0', '213.0', '441.0', '240.0']",0.865,hummingbird,2
"['413.0', '220.0', '440.0', '241.0']",0.824,hummingbird,2
"['414.0', '222.0', '440.0', '243.0']",0.844,hummingbird,2
"['412.0', '214.0', '439.0', '240.0']",0.861,hummingbird,3
"['412.0', '218.0', '437.0', '243.0']",0.863,hummingbird,3
"['412.0', '220.0', '439.0', '239.0']",0.829,hummingbird,3
"['412.0', '216.0', '435.0', '242.0']",0.859,hummingbird,3
"['413.0', '217.0', '438.0', '240.0']",0.851,hummingbird,3
"['413.0', '220.0', '442.0', '240.0']",0.792,hummingbird,3
"['412.0', '215.0', '441.0', '240.0']",0.855,hummingbird,3
"['412.0', '220.0', '437.0', '241.0']",0.861,hummingbird,3
"['412.0', '216.0', '440.0', '238.0']",0.861,hummingbird,3
"['413.0', '216.0', '438.0', '240.0']",0.856,hummingbird,3
"['413.0', '222.0', '440.0', '240.0']",0.809,hummingbird,3
"['413.0', '215.0', '443.0', '239.0']",0.843,hummingbird,3
"['412.0', '219.0', '438.0', '241.0']",0.81,hummingbird,3
"['419.0', '214.0', '439.0', '241.0']",0.867,hummingbird,3
"['432.0', '205.0', '453.0', '231.0']",0.851,hummingbird,4
"['432.0', '205.0', '453.0', '225.0']",0.815,hummingbird,4
"['431.0', '206.0', '457.0', '232.0']",0.868,hummingbird,4
"['430.0', '204.0', '457.0', '239.0']",0.866,hummingbird,4
"['430.0', '198.0', '453.0', '226.0']",0.865,hummingbird,4
"['419.0', '202.0', '449.0', '227.0']",0.837,hummingbird,4
"['415.0', '213.0', '439.0', '240.0']",0.872,hummingbird,3
"['411.0', '215.0', '438.0', '239.0']",0.864,hummingbird,3
"['411.0', '215.0', '438.0', '240.0']",0.867,hummingbird,3
"['413.0', '215.0', '435.0', '243.0']",0.86,hummingbird,3
"['412.0', '220.0', '438.0', '240.0']",0.822,hummingbird,3
"['412.0', '220.0', '439.0', '241.0']",0.821,hummingbird,3
"['413.0', '216.0', '444.0', '239.0']",0.744,hummingbird,3
"['412.0', '216.0', '443.0', '240.0']",0.779,hummingbird,3
"['412.0', '215.0', '438.0', '241.0']",0.862,hummingbird,3
"['411.0', '218.0', '439.0', '241.0']",0.841,hummingbird,3
"['411.0', '216.0', '438.0', '241.0']",0.856,hummingbird,3
"['412.0', '220.0', '440.0', '241.0']",0.814,hummingbird,3
"['411.0', '218.0', '443.0', '240.0']",0.725,hummingbird,3
"['412.0', '216.0', '440.0', '241.0']",0.852,hummingbird,3
"['412.0', '217.0', '438.0', '240.0']",0.856,hummingbird,3
"['413.0', '219.0', '441.0', '240.0']",0.816,hummingbird,3
"['420.0', '214.0', '438.0', '243.0']",0.86,hummingbird,3
"['421.0', '207.0', '449.0', '234.0']",0.861,hummingbird,3
"['424.0', '207.0', '451.0', '229.0']",0.852,hummingbird,3
"['420.0', '210.0', '447.0', '229.0']",0.418,hummingbird,3
"['411.0', '216.0', '443.0', '241.0']",0.783,hummingbird,5
"['413.0', '215.0', '442.0', '239.0']",0.842,hummingbird,5
"['412.0', '219.0', '437.0', '241.0']",0.859,hummingbird,5
"['411.0', '216.0', '438.0', '239.0']",0.867,hummingbird,5
"['411.0', '216.0', '439.0', '239.0']",0.864,hummingbird,5
"['412.0', '219.0', '437.0', '242.0']",0.857,hummingbird,5
"['413.0', '222.0', '440.0', '240.0']",0.802,hummingbird,5
"['412.0', '216.0', '443.0', '240.0']",0.773,hummingbird,5
"['412.0', '216.0', '439.0', '241.0']",0.865,hummingbird,5
"['411.0', '218.0', '439.0', '241.0']",0.85,hummingbird,5
"['412.0', '217.0', '439.0', '240.0']",0.858,hummingbird,5
"['412.0', '216.0', '440.0', '240.0']",0.86,hummingbird,5
"['412.0', '221.0', '439.0', '241.0']",0.829,hummingbird,5
"['413.0', '217.0', '438.0', '242.0']",0.861,hummingbird,5
"['419.0', '214.0', '447.0', '240.0']",0.849,hummingbird,5
"['429.0', '209.0', '457.0', '232.0']",0.86,hummingbird,6
"['427.0', '210.0', '453.0', '236.0']",0.867,hummingbird,6
"['420.0', '212.0', '449.0', '233.0']",0.846,hummingbird,6
"['415.0', '218.0', '440.0', '237.0']",0.844,hummingbird,5
"['412.0', '217.0', '444.0', '241.0']",0.786,hummingbird,5
"['413.0', '215.0', '445.0', '239.0']",0.807,hummingbird,5
"['413.0', '216.0', '445.0', '239.0']",0.764,hummingbird,5
"['410.0', '216.0', '443.0', '242.0']",0.779,hummingbird,5
"['412.0', '215.0', '442.0', '239.0']",0.819,hummingbird,5
"['412.0', '216.0', '441.0', '239.0']",0.835,hummingbird,5
"['412.0', '216.0', '438.0', '242.0']",0.853,hummingbird,5
"['412.0', '217.0', '439.0', '240.0']",0.85,hummingbird,5
"['412.0', '217.0', '438.0', '240.0']",0.853,hummingbird,5
"['412.0', '219.0', '439.0', '239.0']",0.824,hummingbird,5
"['412.0', '219.0', '443.0', '239.0']",0.784,hummingbird,5
"['412.0', '216.0', '442.0', '240.0']",0.821,hummingbird,5
"['412.0', '216.0', '438.0', '241.0']",0.855,hummingbird,5
"['413.0', '218.0', '438.0', '240.0']",0.853,hummingbird,5
