x1,y1,x2,y2,confidence,class_name,tracker_id,recording_name,frame_time,frame_num,fps
564,105,588,134,0.729,hummingbird,1,detect_133.mp4,266,5,5
563,105,587,130,0.849,hummingbird,1,detect_133.mp4,333,6,5
560,109,584,130,0.853,hummingbird,1,detect_133.mp4,400,7,5
408,231,425,266,0.79,hummingbird,2,detect_133.mp4,800,13,5
407,237,429,273,0.851,hummingbird,2,detect_133.mp4,866,14,5
411,231,428,271,0.812,hummingbird,2,detect_133.mp4,933,15,5
445,206,473,225,0.75,hummingbird,3,detect_133.mp4,3266,50,5
443,208,469,230,0.711,hummingbird,3,detect_133.mp4,3333,51,5
444,206,472,226,0.773,hummingbird,3,detect_133.mp4,3400,52,5
445,206,471,227,0.796,hummingbird,3,detect_133.mp4,3466,53,5
446,207,469,235,0.874,hummingbird,3,detect_133.mp4,3533,54,5
448,207,471,231,0.874,hummingbird,3,detect_133.mp4,3600,55,5
360,176,374,196,0.856,hummingbird,4,detect_133.mp4,6600,100,5
360,175,374,197,0.86,hummingbird,4,detect_133.mp4,6666,101,5
313,142,329,171,0.861,hummingbird,5,detect_134.mp4,66,2,5
306,150,331,173,0.83,hummingbird,5,detect_134.mp4,133,3,5
310,155,335,180,0.871,hummingbird,5,detect_134.mp4,200,4,5
309,154,338,177,0.851,hummingbird,5,detect_134.mp4,266,5,5
309,155,336,178,0.872,hummingbird,5,detect_134.mp4,333,6,5
309,155,333,179,0.869,hummingbird,5,detect_134.mp4,400,7,5
308,155,332,181,0.873,hummingbird,5,detect_134.mp4,466,8,5
308,155,332,180,0.872,hummingbird,5,detect_134.mp4,533,9,5
308,155,332,180,0.872,hummingbird,5,detect_134.mp4,600,10,5
309,155,333,181,0.872,hummingbird,5,detect_134.mp4,666,11,5
309,155,333,178,0.866,hummingbird,5,detect_134.mp4,733,12,5
309,156,333,180,0.868,hummingbird,5,detect_134.mp4,800,13,5
321,172,347,193,0.82,hummingbird,6,detect_137.mp4,66,2,5
320,174,346,194,0.727,hummingbird,6,detect_137.mp4,133,3,5
319,175,345,195,0.737,hummingbird,6,detect_137.mp4,200,4,5
319,176,344,195,0.433,hummingbird,6,detect_137.mp4,266,5,5
318,175,344,195,0.701,hummingbird,6,detect_137.mp4,466,8,5
319,172,344,195,0.826,hummingbird,6,detect_137.mp4,533,9,5
324,170,345,196,0.693,hummingbird,6,detect_137.mp4,600,10,5
326,171,348,197,0.602,hummingbird,6,detect_137.mp4,666,11,5
325,173,348,197,0.627,hummingbird,6,detect_137.mp4,733,12,5
324,173,347,196,0.702,hummingbird,6,detect_137.mp4,800,13,5
324,174,346,196,0.801,hummingbird,6,detect_137.mp4,866,14,5
326,175,348,197,0.767,hummingbird,6,detect_137.mp4,933,15,5
362,192,380,208,0.821,hummingbird,7,detect_137.mp4,2266,35,5
364,195,378,222,0.704,hummingbird,7,detect_137.mp4,2333,36,5
389,264,409,299,0.82,hummingbird,8,detect_138.mp4,66,2,5
391,261,412,284,0.775,hummingbird,8,detect_138.mp4,133,3,5
390,261,410,291,0.796,hummingbird,8,detect_138.mp4,200,4,5
390,261,408,293,0.783,hummingbird,8,detect_138.mp4,266,5,5
386,261,405,287,0.844,hummingbird,8,detect_138.mp4,333,6,5
384,261,402,292,0.825,hummingbird,8,detect_138.mp4,400,7,5
381,263,404,289,0.851,hummingbird,8,detect_138.mp4,466,8,5
388,262,407,290,0.848,hummingbird,8,detect_138.mp4,533,9,5
391,262,412,288,0.838,hummingbird,8,detect_138.mp4,600,10,5
389,261,403,290,0.834,hummingbird,8,detect_138.mp4,666,11,5
383,263,405,289,0.852,hummingbird,8,detect_138.mp4,733,12,5
386,261,405,290,0.839,hummingbird,8,detect_138.mp4,800,13,5
390,261,410,290,0.834,hummingbird,8,detect_138.mp4,866,14,5
388,261,405,287,0.827,hummingbird,8,detect_138.mp4,933,15,5
380,262,403,290,0.849,hummingbird,8,detect_138.mp4,1000,16,5
388,261,408,289,0.842,hummingbird,8,detect_138.mp4,1066,17,5
390,261,411,290,0.837,hummingbird,8,detect_138.mp4,1133,18,5
389,260,407,291,0.806,hummingbird,8,detect_138.mp4,1200,19,5
